GRB	z	dhour	flux	fluxerr	filtold	filtnew
150424A	0.3	3.1444	9.305	1.577	uvw2	uvw2
150424A	0.3	119.762	2.448	0.0	uvw2	uvw2
150424A	0.3	35.9161	3.879	0.0	uvw2	uvw2
150424A	0.3	8.1253	7.46	0.7197	uvw2	uvw2
150424A	0.3	17.4014	10.5	0.4947	z*	z*
150424A	0.3	16.0842	11.62	0.66	z*	z*
150424A	0.3	66.3611	1.384	0.0	z*	z*
150424A	0.3	89.7828	1.151	0.0	z*	z*
150424A	0.3	114.38	0.6623	0.0	z*	z*
150424A	0.3	18.715	9.399	0.534	z*	z*
150424A	0.3	161.938	1.824	0.0	z*	z*
150424A	0.3	15.54	13.84	1.335	z*	z*
150424A	0.3	186.359	2.405	0.0	z*	z*
150424A	0.3	234.156	0.9574	0.0	z*	z*
150424A	0.3	43.4319	3.413	0.3988	z*	z*
150424A	0.3	21.295	32.55	0.0	Zg	z*
160410A	1.717	7.1	45.74	0.0	g*	g*
160410A	1.717	0.533	21.89	2.112	g*	g*
160410A	1.717	0.533	53.93	0.0	H	H
160410A	1.717	0.1	43.5	13.84	I	I
160410A	1.717	0.0167	301.0	95.78	I	I
160410A	1.717	7.1	57.35	0.0	I	I
160410A	1.717	14.6	13.63	0.0	I	I
160410A	1.717	20.7	18.99	0.0	I	I
160410A	1.717	0.533	19.76	1.907	i*	i*
160410A	1.717	25.3	37.39	0.0	J	J
160410A	1.717	20.7	158.8	0.0	J	J
160410A	1.717	0.533	37.39	0.0	J	J
160410A	1.717	25.3	59.07	0.0	K	K
160410A	1.717	0.533	235.2	0.0	Ks	K
160410A	1.717	0.0244	104.9	0.0	R	R
160410A	1.717	0.0078	138.3	44.02	R	R
160410A	1.717	7.5	4.58	0.9263	R	R
160410A	1.717	0.0128	104.9	0.0	R	R
160410A	1.717	0.128	28.95	1.645	r*	r*
160410A	1.717	17.3	0.8272	0.07149	r*	r*
160410A	1.717	0.533	23.86	2.302	r*	r*
160410A	1.717	40.37	0.3781	0.0	r*	r*
160410A	1.717	7.1	41.05	0.0	Rc	R
160410A	1.717	1.1808	34.49	0.0	uvb	B
160410A	1.717	1.4089	3.307	0.0	uvm2	uvm2
160410A	1.717	0.0844	9.897	2.002	uvu	uvu
160410A	1.717	1.3519	49.09	0.0	uvv	V
160410A	1.717	1.4658	6.792	0.0	uvw1	uvw1
160410A	1.717	1.295	4.163	0.0	uvw2	uvw2
160410A	1.717	0.533	23.67	4.788	z*	z*
160624A	0.483	3.9	25.34	0.0	g*	g*
160624A	0.483	3.9	48.78	0.0	I	I
160624A	0.483	0.7667	0.2481	0.0	r*	r*
160624A	0.483	6.0	5.183	0.0	r*	r*
160624A	0.483	3.9	29.49	0.0	Rc	R
160624A	0.483	1.2347	23.14	0.0	uvb	B
160624A	0.483	1.4628	4.155	0.0	uvm2	uvm2
160624A	0.483	0.0802	16.84	0.0	uvu	uvu
160624A	0.483	0.0802	8.839	0.0	uvu	uvu
160624A	0.483	1.4056	61.82	0.0	uvv	V
160624A	0.483	1.5197	4.715	0.0	uvw1	uvw1
160624A	0.483	1.3486	5.612	0.0	uvw2	uvw2
160821B	0.16	90.5954	0.4609	0.01291	F110W	J
160821B	0.16	252.654	0.07863	0.0159	F110W	J
160821B	0.16	556.341	0.02374	0.0	F110W	J
160821B	0.16	557.53	0.05919	0.0	F160W	H
160821B	0.16	251.065	0.0649	0.02065	F160W	H
160821B	0.16	89.0066	0.5919	0.02221	F160W	H
160821B	0.16	555.844	0.02666	0.0	F606W	r*
160821B	0.16	249.508	0.02431	0.007737	F606W	r*
160821B	0.16	87.45	0.1534	0.005757	F606W	r*
160821B	0.16	86.4	0.1844	0.05869	F606W	r*
160821B	0.16	119.207	0.9047	0.3674	Ks	K
160821B	0.16	217.608	1.078	0.0	Ks	K
160821B	0.16	196.008	0.9215	0.0	Ks	K
160821B	0.16	0.95	2.935	0.2831	R	R
160821B	0.16	1.83	3.528	0.2005	R	R
160821B	0.16	1.6392	35.44	0.0	uvb	B
160821B	0.16	1.4681	11.63	0.0	uvm2	uvm2
160821B	0.16	0.08	9.315	0.0	uvu	uvu
160821B	0.16	0.08	11.2	0.0	uvu	uvu
160821B	0.16	1.4111	87.08	0.0	uvv	V
160821B	0.16	1.5253	13.5	0.0	uvw1	uvw1
160821B	0.16	1.3542	6.331	0.0	uvw2	uvw2
170428A	0.454	1.0667	10.91	1.053	g*	g*
170428A	0.454	25.47	41.16	0.0	H	H
170428A	0.454	1.0667	16.39	7.299	H	H
170428A	0.454	1.0667	13.98	1.349	i*	i*
170428A	0.454	25.47	34.44	0.0	J	J
170428A	0.454	1.0667	19.82	4.009	J	J
170428A	0.454	1.0667	37.43	0.0	Ks	K
170428A	0.454	0.0153	325.3	0.0	R	R
170428A	0.454	0.0675	67.96	0.0	R	R
170428A	0.454	10.16	12.95	0.0	R	R
170428A	0.454	0.0314	170.7	0.0	R	R
170428A	0.454	1.0667	11.76	1.135	r*	r*
170428A	0.454	25.47	4.682	0.0	r*	r*
170428A	0.454	0.2328	17.29	0.0	uvb	B
170428A	0.454	0.2122	6.984	0.0	uvm2	uvm2
170428A	0.454	0.2258	26.23	0.0	uvu	uvu
170428A	0.454	0.2056	38.57	0.0	uvv	V
170428A	0.454	0.2192	15.25	0.0	uvw1	uvw1
170428A	0.454	1.22	7.193	0.0	uvw2	uvw2
170428A	0.454	25.47	21.85	0.0	Y	Y
170428A	0.454	1.0667	13.84	1.335	z*	z*
170428A	0.454	25.47	16.62	0.0	Zg	z*
