0.538	0.0000000000
0.5405	0.0014000000
0.543	0.0099000000
0.5455	0.0259000000
0.548	0.0497000000
0.5505	0.0807000000
0.553	0.1186000000
0.5555	0.1625000000
0.558	0.2093000000
0.5605	0.2555000000
0.563	0.2975000000
0.5655	0.3326000000
0.568	0.3609000000
0.5705	0.3834000000
0.573	0.4010000000
0.5755	0.4147000000
0.578	0.4253000000
0.5805	0.4333000000
0.583	0.4395000000
0.5855	0.4446000000
0.588	0.4489000000
0.5905	0.4527000000
0.593	0.4563000000
0.5955	0.4599000000
0.598	0.4634000000
0.6005	0.4665000000
0.603	0.4689000000
0.6055	0.4703000000
0.608	0.4711000000
0.6105	0.4717000000
0.613	0.4727000000
0.6155	0.4744000000
0.618	0.4767000000
0.6205	0.4792000000
0.623	0.4819000000
0.6255	0.4844000000
0.628	0.4867000000
0.6305	0.4887000000
0.633	0.4902000000
0.6355	0.4909000000
0.638	0.4912000000
0.6405	0.4912000000
0.643	0.4912000000
0.6455	0.4914000000
0.648	0.4915000000
0.6505	0.4912000000
0.653	0.4901000000
0.6555	0.4878000000
0.658	0.4852000000
0.6605	0.4818000000
0.663	0.4697000000
0.6655	0.4421000000
0.668	0.4009000000
0.6705	0.3499000000
0.673	0.2924000000
0.6755	0.2318000000
0.678	0.1715000000
0.6805	0.1152000000
0.683	0.0687000000
0.6855	0.0380000000
0.688	0.0212000000
0.6905	0.0134000000
0.693	0.0099000000
0.6955	0.0076000000
0.698	0.0055000000
0.7005	0.0039000000
0.703	0.0027000000
0.7055	0.0020000000
0.708	0.0015000000
0.7105	0.0012000000
0.713	0.0010000000
0.7155	0.0007000000
0.718	0.0004000000
0.7205	0.0002000000
0.723	0.0000000000
